Fecha_Hora,ton_total,n_descargas,n_cam,n_shov,ton_chancador,ton_botadero,descargas_botadero,ton_chancador_1,ton_chancador_2,cam_chancador,cam_botadero,ton_alta_ley,ton_media_ley,ton_baja_ley,ton_lastre,n_perfo,n_eq_apoyo,n_aljibe
2020-01-04 01:00:00,19213.7421,62.0,44.0,7.0,9667.0,9546.7421,30.0,4551.0,5116.0,23.0,25.0,0.0,10910.7421,0.0,8303.0,,,
2020-01-04 02:00:00,20725.4842,67.0,47.0,7.0,7093.0,13632.4842,44.0,4587.0,2506.0,18.0,38.0,0.0,11970.0,0.0,8755.4842,,,
2020-01-04 03:00:00,22681.0,74.0,48.0,7.0,10786.0,11895.0,39.0,5189.0,5597.0,22.0,30.0,0.0,12324.0,0.0,10357.0,,,
2020-01-04 04:00:00,14938.0,49.0,34.0,6.0,4275.0,10663.0,35.0,1551.0,2724.0,10.0,25.0,0.0,4555.0,0.0,10383.0,,,
2020-01-04 05:00:00,8989.0,29.0,25.0,5.0,5405.0,3584.0,12.0,1731.0,3674.0,15.0,12.0,0.0,6004.0,0.0,2985.0,,,
2020-01-04 06:00:00,19078.4842,63.0,47.0,5.0,7396.4842,11682.0,38.0,3266.7421,4129.7421,22.0,28.0,0.0,7396.4842,0.0,11682.0,,,
2020-01-04 07:00:00,23366.7421,74.0,47.0,8.0,7796.7421,15570.0,49.0,3763.0,4033.7421,19.0,35.0,0.0,9005.7421,0.0,14361.0,,,
2020-01-04 08:00:00,20817.4842,65.0,50.0,7.0,5231.0,15586.4842,50.0,3620.0,1611.0,14.0,39.0,0.0,8329.0,0.0,12488.4842,,,
2020-01-04 09:00:00,15052.0,65.0,48.0,7.0,6646.0,8406.0,42.0,3304.0,3342.0,19.0,34.0,0.0,7874.0,0.0,7178.0,,,
2020-01-04 10:00:00,23915.7421,78.0,46.0,7.0,8397.0,15518.7421,51.0,4569.0,3828.0,19.0,36.0,0.0,11117.7421,0.0,12798.0,,,
2020-01-04 11:00:00,23224.0,74.0,48.0,7.0,8885.0,14339.0,44.0,5424.0,3461.0,20.0,32.0,0.0,11078.0,0.0,12146.0,,,
2020-01-04 12:00:00,23267.7421,75.0,48.0,7.0,7912.0,15355.7421,49.0,3984.0,3928.0,17.0,36.0,0.0,9839.7421,0.0,13428.0,,,
2020-01-04 13:00:00,23938.4842,77.0,48.0,8.0,9120.0,14818.4842,48.0,4590.0,4530.0,20.0,31.0,0.0,9708.0,0.0,14230.4842,,,
2020-01-04 14:00:00,14943.4842,50.0,37.0,8.0,3808.0,11135.4842,37.0,2031.0,1777.0,10.0,30.0,0.0,5550.7421,0.0,9392.7421,,,
2020-01-04 15:00:00,3078.0,10.0,10.0,5.0,1506.0,1572.0,5.0,1218.0,288.0,5.0,5.0,0.0,1506.0,0.0,1572.0,,,
2020-01-04 16:00:00,17104.0,56.0,38.0,6.0,2719.0,14385.0,47.0,2719.0,0.0,6.0,35.0,0.0,4259.0,0.0,12845.0,,,
2020-01-04 17:00:00,23361.4842,76.0,47.0,7.0,6243.7421,17117.7421,56.0,3033.0,3210.7421,13.0,37.0,0.0,7807.7421,0.0,15553.7421,,,
2020-01-04 18:00:00,22389.0,73.0,47.0,7.0,4934.0,17455.0,57.0,3800.0,1134.0,11.0,40.0,0.0,6776.0,0.0,15613.0,,,
2020-01-04 19:00:00,23852.7421,77.0,47.0,8.0,6907.0,16945.7421,54.0,5096.0,1811.0,18.0,36.0,0.0,9067.0,0.0,14785.7421,,,
2020-01-04 20:00:00,18383.7421,60.0,44.0,8.0,6691.0,11692.7421,38.0,3209.0,3482.0,15.0,31.0,0.0,8488.0,0.0,9895.7421,,,
2020-01-04 21:00:00,14083.0,70.0,49.0,7.0,6217.0,7866.0,41.0,3550.0,2667.0,21.0,32.0,0.0,7370.0,0.0,6713.0,,,
2020-01-04 22:00:00,22624.0,74.0,47.0,7.0,10138.0,12486.0,41.0,4652.0,5486.0,22.0,35.0,0.0,12564.0,0.0,10060.0,,,
2020-01-04 23:00:00,22341.0,72.0,48.0,7.0,6349.0,15992.0,51.0,2996.0,3353.0,17.0,40.0,0.0,9957.0,0.0,12384.0,,,
2020-01-05 00:00:00,13898.0,44.0,43.0,7.0,5512.0,8386.0,26.0,1784.0,3728.0,18.0,26.0,2127.0,4341.0,0.0,7430.0,,,
2020-01-05 01:00:00,22173.0,73.0,46.0,8.0,8166.0,14007.0,46.0,2997.0,5169.0,20.0,33.0,5036.0,3448.0,0.0,13689.0,,,
2020-01-05 02:00:00,24167.7421,80.0,46.0,7.0,10658.0,13509.7421,45.0,5430.0,5228.0,20.0,27.0,5071.0,5587.0,0.0,13509.7421,,,
2020-01-05 03:00:00,20729.0,67.0,45.0,6.0,8194.0,12535.0,41.0,3316.0,4878.0,20.0,30.0,4168.0,4576.0,0.0,11985.0,,,
2020-01-05 04:00:00,15205.0,50.0,34.0,7.0,5726.0,9479.0,31.0,2687.0,3039.0,11.0,26.0,5730.0,331.0,0.0,9144.0,,,
2020-01-05 05:00:00,11796.7421,39.0,28.0,7.0,4293.0,7503.7421,25.0,3053.0,1240.0,12.0,18.0,2121.0,2742.7421,0.0,6933.0,,,
2020-01-05 06:00:00,17688.0,59.0,40.0,6.0,5014.0,12674.0,42.0,3874.0,1140.0,15.0,26.0,1534.0,3480.0,0.0,12674.0,,,
2020-01-05 07:00:00,15863.4842,51.0,39.0,7.0,6438.0,9425.4842,31.0,5532.0,906.0,17.0,24.0,3892.0,4960.0,0.0,7011.4842,,,
2020-01-05 08:00:00,18589.7421,61.0,47.0,8.0,5119.0,13470.7421,44.0,2409.0,2710.0,13.0,36.0,2653.0,4898.0,0.0,11038.7421,,,
2020-01-05 09:00:00,14929.0,69.0,45.0,8.0,7158.0,7771.0,42.0,3843.0,3315.0,22.0,28.0,5364.0,2058.0,0.0,7507.0,,,
2020-01-05 10:00:00,23689.2263,77.0,48.0,8.0,8652.0,15037.2263,49.0,4132.0,4520.0,19.0,35.0,5332.0,4287.0,0.0,14070.2263,,,
2020-01-05 11:00:00,26605.7105,86.0,48.0,8.0,9038.0,17567.7105,57.0,4827.0,4211.0,21.0,36.0,4242.0,6382.7421,0.0,15980.9684,,,
2020-01-05 12:00:00,20594.7421,67.0,47.0,8.0,8445.7421,12149.0,39.0,4191.0,4254.7421,22.0,33.0,4751.0,5512.7421,0.0,10331.0,,,
2020-01-05 13:00:00,25095.4842,80.0,50.0,7.0,13058.7421,12036.7421,39.0,6623.7421,6435.0,29.0,28.0,6506.7421,7181.7421,0.0,11407.0,,,
2020-01-05 14:00:00,12893.7421,42.0,32.0,7.0,6031.7421,6862.0,22.0,2399.0,3632.7421,15.0,18.0,4493.0,1538.7421,0.0,6862.0,,,
2020-01-05 15:00:00,6973.0,23.0,22.0,5.0,4506.0,2467.0,8.0,0.0,4506.0,14.0,8.0,4506.0,0.0,0.0,2467.0,,,
2020-01-05 16:00:00,16797.4842,56.0,36.0,6.0,5173.0,11624.4842,39.0,2170.0,3003.0,14.0,25.0,5173.0,0.0,0.0,11624.4842,,,
2020-01-05 17:00:00,23099.4842,74.0,49.0,6.0,7988.0,15111.4842,50.0,5878.0,2110.0,21.0,37.0,5906.0,6018.4842,0.0,11175.0,,,
2020-01-05 18:00:00,25845.0,84.0,49.0,6.0,10525.0,15320.0,50.0,6521.0,4004.0,22.0,31.0,6778.0,5896.0,0.0,13171.0,,,
2020-01-05 19:00:00,22150.0,71.0,50.0,7.0,8153.0,13997.0,46.0,5292.0,2861.0,20.0,36.0,5542.0,5313.0,0.0,11295.0,,,
2020-01-05 20:00:00,16862.7421,53.0,46.0,7.0,8340.0,8522.7421,27.0,4030.0,4310.0,22.0,25.0,1844.0,7681.0,0.0,7337.7421,,,
2020-01-05 21:00:00,13768.0,68.0,48.0,8.0,5770.0,7998.0,47.0,2714.0,3056.0,17.0,35.0,3935.0,3325.0,0.0,6508.0,,,
2020-01-05 22:00:00,24673.7421,80.0,48.0,7.0,7091.0,17582.7421,56.0,4287.0,2804.0,18.0,37.0,4010.0,4316.0,0.0,16347.7421,,,
2020-01-05 23:00:00,25839.7105,83.0,48.0,7.0,9290.0,16549.7105,53.0,4626.0,4664.0,16.0,35.0,5482.0,4132.0,0.0,16225.7105,,,
2020-01-06 00:00:00,12045.9684,39.0,30.0,6.0,4203.0,7842.9684,25.0,2418.0,1785.0,12.0,18.0,1875.0,2328.0,0.0,7842.9684,,,
2020-01-06 01:00:00,21156.0,70.0,42.0,7.0,10397.0,10759.0,36.0,5750.0,4647.0,22.0,21.0,6053.0,4344.0,0.0,10759.0,,,
2020-01-06 02:00:00,22485.7421,73.0,46.0,7.0,11204.0,11281.7421,37.0,5751.0,5453.0,28.0,24.0,4772.7421,6735.0,0.0,10978.0,,,
2020-01-06 03:00:00,22865.7421,74.0,48.0,7.0,12878.7421,9987.0,32.0,6154.7421,6724.0,32.0,21.0,5473.7421,7405.0,0.0,9987.0,,,
2020-01-06 04:00:00,17316.0,56.0,35.0,7.0,9732.0,7584.0,25.0,3884.0,5848.0,25.0,15.0,306.0,9426.0,0.0,7584.0,,,
2020-01-06 05:00:00,14188.7421,48.0,30.0,6.0,8324.7421,5864.0,20.0,4459.0,3865.7421,24.0,7.0,4454.7421,3870.0,0.0,5864.0,,,
2020-01-06 06:00:00,20978.0,68.0,43.0,7.0,11668.0,9310.0,31.0,6142.0,5526.0,27.0,17.0,6331.0,6513.0,0.0,8134.0,,,
2020-01-06 07:00:00,23731.4842,77.0,47.0,6.0,13559.0,10172.4842,34.0,5537.0,8022.0,31.0,18.0,4907.7421,8955.0,0.0,9868.7421,,,
2020-01-06 08:00:00,17415.4842,57.0,46.0,7.0,10308.0,7107.4842,23.0,4548.0,5760.0,27.0,19.0,3346.0,6962.0,0.0,7107.4842,,,
2020-01-06 09:00:00,11510.7421,54.0,41.0,6.0,8124.7421,3386.0,19.0,2592.0,5532.7421,23.0,19.0,2704.0,5420.7421,0.0,3386.0,,,
2020-01-06 10:00:00,19564.0,64.0,46.0,6.0,11270.0,8294.0,27.0,4516.0,6754.0,25.0,24.0,0.0,11600.0,0.0,7964.0,,,
2020-01-06 11:00:00,24589.0,80.0,48.0,7.0,12290.0,12299.0,40.0,5395.0,6895.0,28.0,25.0,0.0,12616.0,0.0,11973.0,,,
2020-01-06 12:00:00,19945.0,65.0,48.0,6.0,6421.0,13524.0,45.0,2714.0,3707.0,19.0,36.0,0.0,7627.0,0.0,12318.0,,,
2020-01-06 13:00:00,17841.0,59.0,50.0,5.0,305.0,17536.0,58.0,305.0,0.0,1.0,50.0,0.0,908.0,0.0,16933.0,,,
2020-01-06 14:00:00,15201.7421,50.0,36.0,5.0,5802.0,9399.7421,31.0,5503.0,299.0,13.0,27.0,0.0,5802.0,0.0,9399.7421,,,
2020-01-06 15:00:00,2817.0,9.0,9.0,3.0,1288.0,1529.0,5.0,0.0,1288.0,4.0,5.0,0.0,1288.0,0.0,1529.0,,,
2020-01-06 16:00:00,10255.4842,34.0,28.0,5.0,5429.7421,4825.7421,16.0,3005.7421,2424.0,15.0,13.0,0.0,5429.7421,0.0,4825.7421,,,
2020-01-06 17:00:00,19386.7421,63.0,48.0,6.0,9941.0,9445.7421,31.0,5178.0,4763.0,26.0,25.0,0.0,9941.0,0.0,9445.7421,,,
2020-01-06 18:00:00,19774.7421,66.0,49.0,7.0,6609.0,13165.7421,44.0,3868.0,2741.0,17.0,35.0,0.0,6609.0,0.0,13165.7421,,,
2020-01-06 19:00:00,23040.7421,76.0,49.0,7.0,3901.0,19139.7421,63.0,2995.0,906.0,9.0,42.0,0.0,3901.0,0.0,19139.7421,,,
2020-01-06 20:00:00,17610.0,58.0,48.0,7.0,4413.0,13197.0,44.0,3004.0,1409.0,11.0,37.0,0.0,4413.0,0.0,13197.0,,,
2020-01-06 21:00:00,9805.0,47.0,37.0,5.0,6381.0,3424.0,19.0,2972.0,3409.0,18.0,19.0,2690.0,3691.0,0.0,3424.0,,,
2020-01-06 22:00:00,18163.4842,59.0,45.0,6.0,11698.0,6465.4842,21.0,6135.0,5563.0,29.0,18.0,7025.0,5278.7421,0.0,5859.7421,,,
2020-01-06 23:00:00,21580.7421,72.0,49.0,6.0,11274.0,10306.7421,34.0,7394.0,3880.0,29.0,24.0,5956.0,7693.0,0.0,7931.7421,,,
2020-01-07 00:00:00,13971.0,45.0,38.0,6.0,3942.0,10029.0,33.0,1840.0,2102.0,13.0,25.0,0.0,4584.0,0.0,9387.0,,,
2020-01-07 01:00:00,19297.7421,64.0,46.0,7.0,7814.7421,11483.0,38.0,4454.0,3360.7421,23.0,26.0,0.0,9952.7421,0.0,9345.0,,,
2020-01-07 02:00:00,20239.7421,64.0,45.0,7.0,9852.0,10387.7421,34.0,4013.0,5839.0,23.0,23.0,0.0,12393.0,0.0,7846.7421,,,
